,Stkcd,Trddt,SpecificVar
12966,973,2014-05-01,0.006280052835480149
12967,973,2014-06-01,0.005892092700356556
12968,973,2014-07-01,0.005624758974637261
12969,973,2014-08-01,0.005736201712149846
12970,973,2014-12-01,0.005800135077604972
12971,973,2015-01-01,0.005997219081989542
12972,973,2015-02-01,0.005567813741235689
12973,973,2015-03-01,0.006276925165083203
12974,973,2015-04-01,0.006221669393709231
12975,973,2015-05-01,0.002664459807807796
12976,973,2015-06-01,0.004209923164577735
12977,973,2015-07-01,0.00576187690466108
12978,973,2015-08-01,0.005522941276185245
12979,973,2015-09-01,0.004797981548864153
12980,973,2015-10-01,0.004718095427789737
12981,973,2015-11-01,0.016620355227942394
12982,973,2015-12-01,0.01581448985663309
12983,973,2016-03-01,0.015193803571865297
12984,973,2016-04-01,0.01494662049911324
12985,973,2016-05-01,0.01381898511162989
12986,973,2016-06-01,0.014757604879073268
12987,973,2016-07-01,0.013670774903163756
12988,973,2016-08-01,0.013264149108829311
12989,973,2016-09-01,0.012136188517005826
12990,973,2016-10-01,0.011589537400279987
12991,973,2016-11-01,0.011489551752188285
12992,973,2016-12-01,0.011255499924931219
13004,975,2014-11-01,0.007335346008660994
13005,975,2014-12-01,0.007559104644578434
13006,975,2015-01-01,0.007564874162334396
13007,975,2015-02-01,0.00737998179241103
13008,975,2015-03-01,0.013832214670272618
13009,975,2015-04-01,0.013277555378903199
13010,975,2015-05-01,0.012512490220820504
13011,975,2015-06-01,0.013044230133123365
13012,975,2015-07-01,0.010024785175116903
13013,975,2015-08-01,0.009693708564392693
13014,975,2015-09-01,0.008244275918924588
13015,975,2015-10-01,0.008035361119970526
13016,975,2015-11-01,0.0075024955128163776
13017,975,2015-12-01,0.006235087183355958
13018,975,2016-01-01,0.006055324022028211
13019,975,2016-02-01,0.006453892050521756
13020,975,2016-03-01,0.004605441399867432
13021,975,2016-04-01,0.0063473856674035505
13033,977,2014-03-01,0.013365129526790136
13034,977,2014-04-01,0.012453976473608637
13035,977,2014-05-01,0.024901629275194927
13036,977,2014-06-01,0.024484241886955416
13037,977,2014-07-01,0.02335515534244956
13038,977,2014-08-01,0.019619712471164164
13039,977,2014-09-01,0.019078564753424825
13040,977,2014-10-01,0.018245230758612473
13041,977,2014-11-01,0.017299723310235583
13042,977,2014-12-01,0.01674532462124198
13043,977,2015-01-01,0.01460020590651045
13044,977,2015-02-01,0.013224195130798299
13045,977,2015-03-01,0.012736486106071145
13046,977,2015-04-01,0.012241203456163521
13047,977,2015-05-01,0.003780274708603509
13048,977,2015-06-01,0.006115789284145863
13049,977,2015-07-01,0.006004631341820004
13050,977,2015-08-01,0.005968830514524049
13051,977,2015-09-01,0.00846901921954394
13052,977,2015-10-01,0.00827264862595962
13053,977,2015-11-01,0.009940725110492868
13054,977,2015-12-01,0.009539207843724126
13055,977,2016-01-01,0.009248051244486384
13056,977,2016-02-01,0.008904489094400536
13057,977,2016-03-01,0.00945743806587548
13058,977,2016-04-01,0.008475934019311234
13059,977,2016-05-01,0.007785317423453831
13060,977,2016-06-01,0.006284721727891999
13061,977,2016-07-01,0.005735998427598931
13062,977,2016-08-01,0.005350663645834951
13063,977,2016-09-01,0.0037932036529241555
13064,977,2016-10-01,0.004338231058797503
13065,977,2016-11-01,0.0032280567663410475
13066,977,2016-12-01,0.002579233899303734
13078,978,2014-03-01,0.0042322869034213525
13079,978,2014-04-01,0.004901844165198114
13080,978,2014-05-01,0.004651911237885308
13081,978,2014-06-01,0.003084855075668686
13082,978,2014-07-01,0.003412865374562634
13083,978,2014-08-01,0.0033667851680776375
13084,978,2014-09-01,0.0020217700716001555
13085,978,2014-10-01,0.002112399005561501
13086,978,2014-11-01,0.002019706509808237
13087,978,2014-12-01,0.0038580111347044804
13088,978,2015-01-01,0.003595188289488044
13089,978,2015-05-01,0.0036830765188458543
13090,978,2015-06-01,0.003558810444860253
13091,978,2015-07-01,0.0031816666722248497
13092,978,2015-08-01,0.0037279366695033966
13093,978,2015-09-01,0.004481217777373191
13094,978,2015-10-01,0.004603746787371403
13095,978,2015-11-01,0.004423092251895056
13096,978,2015-12-01,0.005035412527996981
13097,978,2016-01-01,0.00513120252312147
13098,978,2016-02-01,0.006309047848318393
13099,978,2016-03-01,0.007077003443216244
13100,978,2016-04-01,0.006710291194161531
13101,978,2016-05-01,0.006138317159517778
13102,978,2016-06-01,0.005972601213891195
13103,978,2016-07-01,0.0059979844520879075
13104,978,2016-08-01,0.0052601996967937235
13105,978,2016-09-01,0.004874083628332007
13106,978,2016-10-01,0.004087092003430396
13107,978,2016-11-01,0.003906803123229199
13108,978,2016-12-01,0.0033947319563547708
13120,979,2014-03-01,0.006671106177302665
13121,979,2014-04-01,0.007402410706521948
13122,979,2014-05-01,0.00682594981414875
13123,979,2014-06-01,0.006178218466740958
13124,979,2014-07-01,0.004438233533701623
13125,979,2014-08-01,0.004999882196047817
13126,979,2014-09-01,0.004555389547669907
